index,Товар,Ссылка,Штрихкод,РодительскяГруппаТоваров,ГруппаТоваров,path,Grizodubova_2,Leningradskaya_36
0,Яблоко Прима Руж,https://vkusvill.ru/upload/app_nofoto_small.jpg,9785431516160,Хлеб,Ягоды и овощи айс,00/0.jpg,,
303,Фасоль стручковая экстра-тонкая Айс,https://vkusvill.ru/upload/resize/236437/236437_250x250x70.jpg,3083681083279,Айс ВкусВилл,Ягоды и овощи айс,03/303.jpg,,
304,Овощи по-деревенски Айс,https://vkusvill.ru/upload/resize/236438/236438_250x250x70.jpg,2100100154820,Айс ВкусВилл,Ягоды и овощи айс,04/304.jpg,,
305,Тыква кубиками Айс,https://vkusvill.ru/upload/resize/236439/236439_250x250x70.jpg,2100100155070,Айс ВкусВилл,Ягоды и овощи айс,05/305.jpg,,
306,Пюре из маракуйи Айс,https://vkusvill.ru/upload/resize/249510/249510_530x300x85_c.jpg,2100100172725,Айс ВкусВилл,Ягоды и овощи айс,06/306.jpg,,
307,Пюре из манго Айс,https://vkusvill.ru/upload/resize/249514/249514_530x300x85_c.jpg,2100100172756,Айс ВкусВилл,Ягоды и овощи айс,07/307.jpg,,
308,Пюре клубничное Айс,https://vkusvill.ru/upload/resize/249516/249516_530x300x85_c.jpg,2100100173005,Айс ВкусВилл,Ягоды и овощи айс,08/308.jpg,,
517,Горошек зеленый Айс,https://vkusvill.ru/upload/resize/236801/236801_250x250x70.jpg,2100100154868,Айс ВкусВилл,Ягоды и овощи айс,17/517.jpg,,
518,Кукуруза Айс,https://vkusvill.ru/upload/resize/236802/236802_250x250x70.jpg,2100100154875,Айс ВкусВилл,Ягоды и овощи айс,18/518.jpg,,
519,Калифорнийский микс Айс,https://vkusvill.ru/upload/resize/236803/236803_250x250x70.jpg,2100100154882,Айс ВкусВилл,Ягоды и овощи айс,19/519.jpg,,
520,Итальянский микс Айс,https://vkusvill.ru/upload/resize/236804/236804_250x250x70.jpg,2100100154899,Айс ВкусВилл,Ягоды и овощи айс,20/520.jpg,,
521,Бельгийский микс на гарнир Айс,https://vkusvill.ru/upload/resize/236805/236805_250x250x70.jpg,2100100154905,Айс ВкусВилл,Ягоды и овощи айс,21/521.jpg,,
522,Картофель по-деревенски Айс,https://vkusvill.ru/upload/resize/236806/236806_250x250x70.jpg,2100100155131,Айс ВкусВилл,Ягоды и овощи айс,22/522.jpg,,
523,Трио капусты Айс,https://vkusvill.ru/upload/resize/236807/236807_250x250x70.jpg,2100100155049,Айс ВкусВилл,Ягоды и овощи айс,23/523.jpg,,
524,Картофель фри Айс,https://vkusvill.ru/upload/resize/236808/236808_250x250x70.jpg,2100100155025,Айс ВкусВилл,Ягоды и овощи айс,24/524.jpg,,
525,Капуста брокколи б/з Айс,https://vkusvill.ru/upload/resize/236809/236809_250x250x70.jpg,2100100147051,Айс ВкусВилл,Ягоды и овощи айс,25/525.jpg,,
526,Чёрная смородина б/з Айс,https://vkusvill.ru/upload/resize/236810/236810_250x250x70.jpg,2100100146146,Айс ВкусВилл,Ягоды и овощи айс,26/526.jpg,,
527,Клубника б/з Айс,https://vkusvill.ru/upload/resize/236811/236811_250x250x70.jpg,2100100146689,Айс ВкусВилл,Ягоды и овощи айс,27/527.jpg,,
528,Пюре малиновое Айс,https://vkusvill.ru/upload/resize/249512/249512_530x300x85_c.jpg,2100100172732,Айс ВкусВилл,Ягоды и овощи айс,28/528.jpg,,
710,Цукини гриль Айс,https://vkusvill.ru/upload/resize/237172/237172_250x250x70.jpg,3083681084856,Айс ВкусВилл,Ягоды и овощи айс,10/710.jpg,,
819,Морковь кубиками Айс,https://vkusvill.ru/upload/resize/237390/237390_250x250x70.jpg,2100100154837,Айс ВкусВилл,Ягоды и овощи айс,19/819.jpg,,
820,Лук репчатый (кубиками) Айс,https://vkusvill.ru/upload/resize/237391/237391_250x250x70.jpg,2100100154844,Айс ВкусВилл,Ягоды и овощи айс,20/820.jpg,,
821,Морковь мини Айс,https://vkusvill.ru/upload/resize/237392/237392_250x250x70.jpg,2100100155063,Айс ВкусВилл,Ягоды и овощи айс,21/821.jpg,,
